label,text
1,"Dear Customer, URGENT: Your PayPal account has been suspended due to unusual activity. Please verify your account immediately by clicking here: http://paypal-verify.tk/login or it will expire within 24 hours. Failure to respond will result in permanent account closure."
1,"WARNING: Your Microsoft account will be suspended! We detected unauthorized login attempts from foreign IP addresses. Confirm your password now at http://microsoft-secure.xyz/verify to prevent account lockout. Act immediately!"
1,"Dear user, your Amazon account requires immediate verification. Click <a href=""http://amaz0n-account.ml/verify"">amazon.com</a> within 12 hours to avoid account suspension. Update your payment information now!"
1,"URGENT NOTIFICATION FROM ATO: You are owed a tax refund of $2,847.00. Click here to claim your refund immediately: http://ato-refund.gq/claim Time limited offer — expires today!"
1,"Dear Valued Customer, We noticed unusual activity on your bank account. Please verify your identity by providing your credit card number and SSN at http://bit.ly/verify-now or your account will be frozen."
1,"Hello, your package from DHL could not be delivered. Please update your address and pay the redelivery fee of $3.99 at http://dhl-tracking.cf/redeliver otherwise your parcel will be returned to sender."
1,"IMPORTANT: Your Netflix subscription payment failed. Update your billing information immediately to avoid service interruption: http://netflix-billing.top/update Final notice!"
1,"Dear member, your Apple ID was used to sign in from an unrecognized device in Russia. If this wasn't you, secure your account now: http://apple-id-secure.click/login Action required within 24 hours."
1,"Congratulations! You've won a $1000 Amazon gift card. Click here to claim your prize immediately: http://gift-card-winner.tk/claim Only 50 winners — don't miss out!"
1,"Dear Customer, your Google account storage is full. Upgrade now or lose your data at http://google-storage.ml/upgrade URGENT — data deletion scheduled in 48 hours!"
1,"ALERT: Suspicious login detected on your LinkedIn account. Confirm your credentials at http://linkedin-secure.xyz/login to prevent account takeover. Respond immediately."
1,"Dear Account Holder, your Wells Fargo account has been locked due to security concerns. Please verify your information at http://wells-fargo-secure.gq/unlock to restore access. Urgent action required."
1,"From: IT Support. Your email storage quota is 99% full. Click here to increase storage: http://bit.ly/email-upgrade Failure to act will result in message loss. Act now!"
1,"URGENT: COVID-19 stimulus payment of $1,400 is waiting. Claim at http://gov-stimulus.tk/claim Limited time — expires in 24 hours. Provide SSN and bank details to receive payment."
1,"Hi, I'm from the finance department. We need you to process an urgent wire transfer of $8,500 to this account. Please confirm you received this and reply immediately. Do not discuss with others."
1,"Your Facebook account has been reported for policy violations. To prevent permanent suspension, verify your identity here: http://facebook-appeal.ml/verify within 24 hours."
1,"Dear user, unusual withdrawal attempts detected on your bank account. Verify your card details immediately at http://bit.ly/secure-bank or your account will be suspended. Act now!"
1,"BREAKING: Your crypto wallet has been compromised! Secure your funds NOW at http://coinbase-secure.xyz/recover Transfer Bitcoin to safe wallet immediately or lose everything!"
1,"Dear Valued Customer, your Medicare account requires update. Click here to update details: http://medicare-gov.cf/update SSN and date of birth required. Failure to comply results in benefit loss."
1,"IMPORTANT: Your invoice INV-7829 is overdue. Download attached payment_invoice.zip to view details and process payment immediately to avoid collections."
1,"Hello, click here http://192.168.1.45/login to verify your workplace account. Unusual activity detected. Action required within 24 hours to prevent lockout."
1,"Dear Sir/Madam, I am the daughter of a deceased Nigerian diplomat. I need your help to transfer $15 million USD. Please send your bank details and I will share 30% with you. Reply urgently."
1,"Final Notice: Your domain name is about to expire! Renew now at http://domain-renew.top/pay to prevent loss of your website. Payment required within 48 hours."
1,"Your HR department needs you to review the new employee handbook immediately. Download the attached document.docm and enable macros to view: handbook_2024.docm"
1,"Instagram Security Alert: Someone tried to log into your account. Confirm identity here: http://instagram-secure.ga/confirm Please verify within 24 hours to secure your account."
1,"Dear Customer, we're updating our security policies. All users must re-confirm their account details including password and security questions at http://bit.ly/policy-update immediately."
1,"Your USPS package is held at customs. Pay the $2.99 clearance fee here: http://usps-customs.click/pay Package will be returned in 48 hours if fee is not paid."
1,"URGENT SECURITY BULLETIN: Windows Defender detected malware. Run the attached scanner_tool.exe immediately to remove the threat from your computer."
1,"Hi, I need urgent help. I'm stuck overseas and lost my wallet. Please wire $500 via Western Union to this number. I'll pay you back when I return. Don't tell anyone please."
1,"Dear customer, your Spotify subscription has expired. Update payment info at http://spotify-renew.ml/pay to continue listening. Otherwise account will be deactivated."
0,"Hi Sarah, Just wanted to follow up on the proposal we discussed last week. I've attached the revised version with the updates we agreed on. Let me know if you have any questions. Best, Michael"
0,"Hi team, Reminder that our weekly stand-up is tomorrow at 10am in the main conference room. Please come prepared with your status updates from this week. Thanks, Jennifer"
0,"Dear Dr. Smith, Thank you for attending the annual cardiology conference. The presentation slides from Dr. Chen's keynote are now available on the conference website at the URL we provided during registration. Best regards, The Conference Committee"
0,"Hi Mark, Your order #45892 has been shipped via Australia Post. You can track it using the tracking number AP7829384. Estimated delivery is Thursday. Thanks for shopping with us. - The Ethical Store Team"
0,"Hey Jake, The code review comments on PR #234 are addressed. Can you take another look when you have a chance? No rush, just whenever you get time this week. Cheers, Dan"
0,"Dear La Trobe University student, A reminder that the enrollment deadline for Semester 2 2026 is next Friday. Please complete your enrollment through the Student Portal before then. Academic Office"
0,"Hi David, Thank you for the interview yesterday. It was great meeting with you and learning more about the Data Analyst role. I've attached my portfolio for your review. Looking forward to hearing from you. Best, Priya"
0,"Team, Please find attached the Q3 financial summary for review at tomorrow's board meeting. Key highlights are on page 3. Let me know if you spot any errors before I finalize it. Regards, Finance"
0,"Hi Dad, Just booked my flights home for Christmas. Arriving on the 22nd at 8pm, flight QF412. Can you pick me up from the airport? Love, Em"
0,"Dear Ms. Johnson, Your appointment with Dr. Patel is confirmed for Thursday 28th at 2:30pm. Please arrive 10 minutes early to complete the new patient forms. Northside Medical Centre"
0,"Hi Alex, Great work on the presentation today. The client really liked the new design direction. Let's catch up tomorrow afternoon to plan the next iteration. Cheers, Rachel"
0,"Dear Mr. Williams, Your car service appointment is scheduled for Tuesday 15th March at 9am. Please bring your service booklet and a form of ID. Parramatta Auto Service"
0,"Hi all, Sharing the minutes from today's project sync. Action items are highlighted in yellow. Please review and respond by end of week if any changes are needed. Best, Tom"
0,"Hi Yaswanth, Hope you're settling into Melbourne well. Let me know if you want to catch up for coffee sometime this week. Monday or Wednesday works for me. - Ravi"
0,"Dear Applicant, We received your application for the Software Engineer position. We will review your materials and get back to you within 2 weeks. Thank you for your interest. HR Team, Atlassian"
0,"Hi Dr. Lee, I've completed the first draft of the literature review chapter and uploaded it to our shared Dropbox folder. Happy to discuss feedback in our next supervision meeting. Kind regards, Yaswanth"
0,"Hey team, Pizza Friday is on again this week! We'll be ordering from Luigi's at 12:30. Reply with your preferred toppings by Thursday. - Social Committee"
0,"Hi Kate, Confirming our dinner plans for Saturday 7pm at The Commoner in Fitzroy. Looking forward to catching up! Let me know if you need to reschedule. - James"
0,"Dear Customer, Thank you for your recent purchase. Your items will be delivered on Wednesday between 10am and 2pm. Please ensure someone is available to receive the package. Kind regards, Harvey Norman"
0,"Hi Emma, The research paper draft is looking great. I've left some comments in the margins for you to address before submission. Overall, a very strong piece of work. Professor Martinez"
0,"Dear John, Happy birthday! Hope you have a wonderful day surrounded by family and friends. Wishing you all the best for the year ahead. - Grandma"
0,"Team, The IT migration is scheduled for this weekend starting Friday 6pm. Please save your work and log out before leaving Friday evening. Systems will be back online Monday morning. IT Department"
0,"Hi, I saw your job posting on Seek and would like to apply. My CV is attached for your consideration. I have five years of experience in cyber security and would love to discuss the role. Kind regards, Samantha"
0,"Dear Member, Your membership renewal for Fitness First is due next month. You can renew online through our member portal at your convenience. We look forward to another great year with you. Fitness First Team"
0,"Hi Yas, Just wanted to say congrats on getting into La Trobe! Such an exciting time. Let me know when you're back home for a visit. - Auntie Lakshmi"
0,"Hello, Please find attached the signed contract for your records. Let me know once you've reviewed it and I'll file my copy. Thanks for a smooth negotiation. Best regards, Legal Team"
0,"Hi Mike, The staging environment is now updated with the latest branch. You should be able to test the new features by logging in with your usual credentials. Let me know if anything breaks. - DevOps"
0,"Dear Students, Your final exam timetable is now available on the student portal. Please review your schedule carefully and note the exam locations. University Examinations Office"
0,"Hi Priya, Thanks for sending through the designs. Really like direction 2 — can we jump on a call tomorrow to discuss some small refinements? Say 11am? Cheers, David"
0,"Dear guest, Thank you for staying with us at the Crown Melbourne. We hope you enjoyed your visit. We'd love to hear your feedback if you have a moment to complete our guest survey. Kind regards, Crown Hotel"
